"Comment";"Designator";"Footprint";"JLCPCB Part #";"Quantity";"MPN";"";
"1";"D7";"SOD-323";"";"1";"1N4148WX-TP";"1N4148";
"2";"J7";"1X3_PADS";"";"1";"";"1X3PADS";
"3";"IC1";"SO14";"";"1";"74HC14-SOIC-14";"7414D";
"4";"D8, D9, D10";"DO-214AC";"";"3";"";"BIDIRECTIONAL";
"5";"J1";"DCJACK_2MM_PTH_SLOT";"";"1";"DC-2.1-TH-SLOT";"DCPCB_MOUNT_TH_SLOT";
"6";"D4";"SOD-323";"";"1";"SOD323-SCHOTTKY-1A";"DIODE-SCHOTTKYGEN_SOD-323";
"7";"D1";"SOD-323";"";"1";"ZENER-SOD-323-12V";"DIODE-ZENER12V";
"8";"FD1, FD2, FD3";"FIDUCIAL_ROUND_1MM";"";"3";"FIDUCIAL";"FIDUCIALROUND_1MM";
"9";"F1, F2";"0603-FUSE";"";"2";"PTC-0603-6V-1.5A";"FUSE1PPTC_0603_6V_1.5A";
"10";"OK1";"SMD6";"";"1";"H11L1S";"H11L1S";
"11";"J3, J4";"JST_S2B-PH-SM4-TB";"";"2";"S2B-PH-SM4-TB(LF)(SN)";"JST_PH_2";
"12";"J2";"JST_SM12B-SRSS-TB";"";"1";"";"JST_SH_12";
"13";"D3";"CHIPLED_0603";"";"1";"LED-0603-GREEN";"LED0603_G";
"14";"D2, D5, D6";"CHIPLED_0603";"";"3";"LED-0603-RED";"LED0603_R";
"15";"U2";"SO08";"";"1";"";"RS485SOIC";
"16";"MP1, MP2, MP3, MP4";"M3-PANHEAD-VIA";"";"4";"";"SCREW-FASTENER3";
"17";"Q1";"SOT23";"";"1";"SI2309";"SI2309CDS";
"18";"C3, C4, C5, C6, C7";"0603_CAP";"";"5";"C0603-100NF-50V-X7R";"SMD-MLCCC0603-100N-50V-X7R";
"19";"C1";"0805_CAP";"";"1";"C0805-10UF-25V-X7R";"SMD-MLCCC0805-10U-25V-X7R";
"20";"R4, R11";"0603-RES";"";"2";"R0603-1K";"STDR0603-1K";
"21";"R9";"0603-RES";"";"1";"R0603-20R";"STDR0603-20R";
"22";"R5, R6, R7";"0603-RES";"";"3";"R0603-220R";"STDR0603-220R";
"23";"R1";"0603-RES";"";"1";"R0603-2K2";"STDR0603-2K2";
"24";"R8";"0603-RES";"";"1";"R0603-33R";"STDR0603-33R";
"25";"R2";"0603-RES";"";"1";"R0603-39K";"STDR0603-39K";
"26";"R13";"0603-RES";"";"1";"RC0603FR-0756KL ";"STDR0603-56K";
"27";"R3, R10, R14, R15, R16";"0603-RES";"";"5";"R0603-5K1";"STDR0603-5K1";
"28";"J5, J6";"CUI_SJ1-3525N";"";"2";"SJ1-3525N";"TRS";
