Designator,Mid X,Mid Y,Layer,Rotation
C1,-5.71,13.18,Top,270.0
C3,-45.72, 2.54,Top,270.0
C4,-43.18, 2.54,Top,270.0
C5,-9.53,-2.54,Top,180.0
C6,-6.99,-20.32,Top,0.0
C7,-13.97, 5.71,Top,0.0
D1,-0.64,18.41,Top,90.0
D2,-12.70,15.88,Top,90.0
D3,-10.16,15.88,Top,90.0
D4,-3.81,-5.08,Top,90.0
D5,-3.81,-20.96,Top,90.0
D6,-1.27,-20.96,Top,90.0
D7,-9.53,-7.62,Top,0.0
D8,-18.41,16.51,Top,0.0
D9,-25.40,16.51,Top,0.0
D10,-32.38,16.51,Top,0.0
F1,-24.13,12.70,Top,270.0
F2,-26.67,12.70,Top,270.0
FD1, 8.00,-24.00,Top,0.0
FD2, 8.00,20.50,Top,0.0
FD3,-48.00,20.50,Top,0.0
IC1,-6.99,-13.97,Top,90.0
J2,-25.00, 7.00,Top,0.0
J3,-50.00,-11.00,Top,180.0
J4,-39.00,-11.00,Top,180.0
OK1,-3.81, 2.86,Top,90.0
Q1, 3.18,18.41,Top,180.0
R1,-12.70,19.05,Top,90.0
R2,-3.18,18.41,Top,90.0
R3,-10.16,19.05,Top,90.0
R4,-1.27,-24.77,Top,90.0
R5,-48.26, 2.54,Top,90.0
R6,-40.64, 2.54,Top,90.0
R7,-6.35,-5.08,Top,90.0
R8, 1.27,-17.14,Top,180.0
R9, 1.27,-19.69,Top,180.0
R10,-1.59,-5.08,Top,90.0
R11,-3.81,-24.77,Top,90.0
R13,-9.53,-5.08,Top,0.0
R14,-10.16, 5.71,Top,180.0
R15,-22.86,19.69,Top,180.0
R16,-27.94,19.69,Top,180.0
U2,-12.07,10.16,Top,90.0
