"Qty";"Value";"Footprint";"Designator";"JLC_PREF";"PART_NO"
"2";"";"SOD-323";"D2, D3";"C191023";"SOD323-SCHOTTKY-1A"
"4";"100K";"0402-RES";"R5, R7, R15, R33";"C25741";"R0402-100K"
"3";"100n";"0402_CAP";"C8, C12, C14";"C307331";"C0402-100NF-50V-X7R"
"1";"10K";"0402-RES";"R16";"C25744";"R0402-10K"
"1";"10R";"0603-RES";"R8";"C22859";"R0603-10R"
"3";"10u";"0603_CAP";"C5, C7, C1";"C96446";"C0603-10U-25V-X5R"
"1";"12V";"SOD-323";"D6";"C19077447";"ZENER-SOD-323-12V"
"1";"1u";"0402_CAP";"C6";"C52923 ";"C0402-1U-25V-X5R"
"1";"220R";"0402-RES";"R1";"C25091";"R0402-220R"
"1";"22R";"0402-RES";"R2";"C25092";"R0402-22R"
"2";"22u";"0805_CAP";"C4, C11";"C45783";"C0805-22U-25V-X5R"
"1";"27K";"0402-RES";"R4";"C25771";"R0402-27K"
"1";"2K2";"0402-RES";"R9";"C25879";"R0402-2K2"
"1";"2u2";"L1008";"L6";"C237482";"L1008-2U2H-2A5"
"1";"33R";"0402-RES";"R3";"C25105";"R0402-33R"
"1";"47u";"1206_CAP";"C13";"C96123";"C1206-47U-10V-X5R"
"4";"5K1";"0402-RES";"R6, R12, R13, R14";"C25905";"R0402-5K1"
"1";"DC3.6MM";"CUI_PJ-072C-SMT-TR";"J1";"C3094066";"PJ-072C-SMT-TR"
"1";"DISP_LCD_GENERIC_SPI_1.69_WRAPUNDER";"TFT_1.69IN_240X280_12P";"DISP1";"C9900239771";""
"1";"ESP32-S3-WROOM-1";"XCVR_ESP32-S3-WROOM-1-N16R2";"U3";"C2913205";"ESP32-S3-WROOM-1-N16R2"
"3";"FIDUCIALROUND_1MM";"FIDUCIAL_ROUND_1MM";"FD1, FD2, FD3";"";"FIDUCIAL"
"1";"H11L1S";"SMD6";"OK1";"C78589";"H11L1S"
"2";"LED0603_R";"CHIPLED_0603";"D4, D5";"C2286";"LED-0603-RED"
"2";"MOMENTARYHOR_2.5MM_3MM";"SW_B3U-3000P";"S3, S4";"C778147";""
"1";"N-channel";"SOT23";"Q1";"C8545";"NFET-LOW-SIG-SWITCH-SOT-23-3"
"2";"SCREW-FASTENER2.5";"M2.5-PANHEAD-VIA";"MP1, MP2";"";""
"1";"SI2309CDS";"SOT23";"Q6";"C10493";"SI2309"
"14";"TEST_PADSB1,27";"B1,27";"TP1, TP2, TP3, TP4, TP5, TP7, TP8, TP9, TP10, TP11, TP12, TP13, TP14, TP15";"";""
"1";"TLV76733DRV";"SON65P200X200X80-7N";"U5";"C2848334";"TLV76733DRVR "
"1";"TPS629206DRLR";"SOT-583";"U8";"C5219292";"TPS629206DRLR"
"2";"TRS-TIP-RING-SW";"PJ-342B";"J2, J3";"C7507452";"PJ-342 141"
"1";"USBC_2.0";"12402012E212A";"J4";"C2988369";"USBC-2.0-TOP"
