Comment,Designator,Footprint,LCSC Part #
1u,D2 D3 C6,0402_CAP,
2K2,R9,0402-RES,
2u2,L6,L1008,
5K1,R6 R12 R13 R14,0402-RES,
10K,R16,0402-RES,
10R,R8,0603-RES,
10V,D6,SOD-323,
10u,C1 C5 C7,0603_CAP,
22R,R2,0402-RES,
22u,C4 C11,0805_CAP,
27K,R4,0402-RES,
33R,R3,0402-RES,
47u,C13,1206_CAP,
100K,R5 R7 R15 R33,0402-RES,
100n,C8 C12 C14,0402_CAP,
220R,R1,0402-RES,
DC3.6MM,J1,CUI_PJ-072C-SMT-TR,
ESP32-S3-WROOM-1,U3,XCVR_ESP32-S3-WROOM-1-N16R2,
FIDUCIALROUND_1MM,FD1 FD2 FD3,FIDUCIAL_ROUND_1MM,
H11L1S,OK1,SMD6,
LED0603_R,D4 D5,CHIPLED_0603,
MOMENTARYHOR_2.5MM_3MM,S3 S4,SW_B3U-3000P,
N-channel,Q1,SOT23,
SI2309CDS,Q6,SOT23,
TEST_PADSB1 27,TP1,B1 27,
TEST_PADSB1 27,TP2,B1 27,
TEST_PADSB1 27,TP3,B1 27,
TEST_PADSB1 27,TP4,B1 27,
TEST_PADSB1 27,TP5,B1 27,
TEST_PADSB1 27,TP7,B1 27,
TEST_PADSB1 27,TP8,B1 27,
TEST_PADSB1 27,TP9,B1 27,
TEST_PADSB1 27,TP10,B1 27,
TEST_PADSB1 27,TP11,B1 27,
TEST_PADSB1 27,TP12,B1 27,
TEST_PADSB1 27,TP13,B1 27,
TEST_PADSB1 27,TP14,B1 27,
TEST_PADSB1 27,TP15,B1 27,
TLV76733DRV,U5,SON65P200X200X80-7N,
TPS629206DRLR,U8,SOT-583,
TRS-TIP-RING-SW,J2 J3,PJ-342B,
USBC_2.0,J4,12402012E212A,
