Designator,Mid X,Mid Y,Layer,Rotation
C1, 0.95,-5.71,Bottom,90.0
C4,-0.48,-2.86,Bottom,0.0
C5,-8.26,-7.62,Bottom,180.0
C6,-8.26,-2.54,Bottom,180.0
C7, 1.43,-12.70,Bottom,270.0
C8, 3.02,-12.70,Bottom,270.0
C11,11.27, 7.62,Bottom,180.0
C12, 6.35,17.14,Bottom,90.0
C13, 6.83,12.70,Bottom,270.0
C14,-7.62,-13.97,Bottom,270.0
D2,-2.06,-19.05,Bottom,270.0
D3, 2.86,-6.35,Bottom,270.0
D4,-9.84,-10.95,Bottom,270.0
D5,-7.30,-10.95,Bottom,270.0
D6,13.65,-3.18,Bottom,90.0
FD1,16.11,25.00,Bottom,0.0
FD2, 4.36,-24.75,Bottom,0.0
FD3,-13.89,-25.00,Bottom,0.0
J1,13.50, 2.50,Bottom,180.0
J2,10.50,-20.50,Bottom,180.0
J3,10.50,-10.00,Bottom,180.0
J4,14.25,14.50,Bottom,90.0
L6,-3.97,-3.81,Bottom,90.0
OK1,-8.73,-20.32,Bottom,180.0
Q1,-1.43,-12.70,Bottom,90.0
Q6,10.79,-3.18,Bottom,270.0
R1,-0.48,-19.05,Bottom,90.0
R2, 6.19, 6.35,Bottom,90.0
R3, 2.54,-17.46,Bottom,180.0
R4,-0.16,-7.94,Bottom,0.0
R5,-2.38,-7.94,Bottom,180.0
R6,-5.08,-13.97,Bottom,90.0
R7,-1.75,-15.56,Bottom,0.0
R8, 1.75,-15.56,Bottom,180.0
R9,-8.57,-10.95,Bottom,90.0
R12,-6.03,-10.95,Bottom,90.0
R13,15.24, 7.30,Bottom,180.0
R14,15.24, 8.26,Bottom,180.0
R15,-6.35,-13.97,Bottom,270.0
R16,-10.48,-5.40,Bottom,270.0
R33,15.24,-3.18,Bottom,90.0
S3,-13.00,-12.00,Bottom,90.0
S4,-13.00,-5.50,Bottom,90.0
TP1, 8.00, 8.00,Bottom,0.0
TP2, 9.00, 9.50,Bottom,0.0
TP3,-9.50,-13.50,Bottom,0.0
TP4,-10.50,-3.00,Bottom,0.0
TP5,-14.00,-1.50,Bottom,0.0
TP7, 9.00,-25.00,Bottom,0.0
TP8, 1.50,-19.00,Bottom,0.0
TP9, 5.66, 0.16,Bottom,0.0
TP10,11.50,-16.00,Bottom,0.0
TP11,-13.05,-16.00,Bottom,0.0
TP12,-4.50,-11.00,Bottom,0.0
TP13, 8.00,18.00,Bottom,0.0
TP14, 8.04,-1.27,Bottom,0.0
TP15, 6.00, 9.00,Bottom,0.0
U3,-4.60,12.70,Bottom,180.0
U5,-8.26,-4.76,Bottom,90.0
U8,-1.27,-6.03,Bottom,0.0
