"Qty";"Value";"Footprint";"Designator";"JLC_PREF";"PART_NO"
"3";"";"SOD-323";"D1, D2, D5";"C191023";"SOD323-SCHOTTKY-1A"
"2";"100K";"0402-RES";"R13, R14";"C25741";"R0402-100K"
"4";"100n";"0402_CAP";"C2, C3, C10, C13";"C307331";"C0402-100NF-50V-X7R"
"2";"10u";"0603_CAP";"C12, C11";"C96446";"C0603-10U-25V-X5R"
"1";"1u";"0402_CAP";"C14";"C52923 ";"C0402-1U-25V-X5R"
"1";"200K";"0402-RES";"R3";"C25764";"R0402-200K"
"1";"220R";"0402-RES";"R1";"C25091";"R0402-220R"
"1";"22R";"0402-RES";"R4";"C25092";"R0402-22R"
"1";"22u";"0603_CAP";"C8";"C59461";"C0603-22UF-6V3-X5R"
"2";"22u";"0805_CAP";"C1, C9";"C45783";"C0805-22U-25V-X5R"
"1";"27K";"0402-RES";"R8";"C25771";"R0402-27K"
"1";"2K2";"0402-RES";"R5";"C25879";"R0402-2K2"
"1";"2u2";"L1008";"L1";"C237482";"L1008-2U2H-2A5"
"1";"33R";"0402-RES";"R6";"C25105";"R0402-33R"
"4";"5K1";"0402-RES";"R2, R7, R9, R10";"C25905";"R0402-5K1"
"1";"DC3.6MM";"CUI_PJ-072C-SMT-TR";"J2";"C3094066";"PJ-072C-SMT-TR"
"1";"ESP32-S3-MINI-1-N4R2";"QFN60_ESP32-S2-MINI-1_EXP";"U2";"C3013941";"ESP32-S3-MINI-1-N4R2"
"6";"FIDUCIALROUND_1MM";"FIDUCIAL_ROUND_1MM";"FD1, FD2, FD3, FD4, FD5, FD6";"";"FIDUCIAL"
"1";"H11L1S";"SMD6";"OK1";"C78589";"H11L1S"
"2";"LED0603_R";"CHIPLED_0603";"D3, D4";"C2286";"LED-0603-RED"
"2";"MOMENTARY2.5MM_3MM";"SW_B3U-1000P";"S1, S2";"C231329";"TACTILE-SWITCH-2.5MM-3MM"
"3";"SCREW-FASTENER2.5";"M2.5-PANHEAD-VIA";"MP1, MP3, MP4";"";""
"15";"TEST_PADSB1,27";"B1,27";"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13, TP14, TP15";"";""
"1";"TLV76733DRV";"SON65P200X200X80-7N";"U5";"C2848334";"TLV76733DRVR "
"1";"TPS56124";"SOT-563";"U1";"C42040978";"TPS561243DRLR"
"2";"TRS-TIP-RING-SW";"PJ-342B";"J1, J3";"C7507452";"PJ-342 141"
"1";"USBC_2.0";"12402012E212A";"J4";"C2988369";"USBC-2.0-TOP"
