Comment,Designator,Footprint,LCSC Part #
1u,D1 D2 D5 C14,0402_CAP,
2K2,R5,0402-RES,
2u2,L1,L1008,
5K1,R2 R7 R9 R10,0402-RES,
10u,C11 C12,0603_CAP,
22R,R4,0402-RES,
22u,C1,0805_CAP,
22u,C8,0603_CAP,
22u,C9,0805_CAP,
27K,R8,0402-RES,
33R,R6,0402-RES,
100K,R13 R14,0402-RES,
100n,C2 C3 C10 C13,0402_CAP,
200K,R3,0402-RES,
220R,R1,0402-RES,
DC3.6MM,J2,CUI_PJ-072C-SMT-TR,
ESP32-S3-MINI-1-N4R2,U2,QFN60_ESP32-S2-MINI-1_EXP,
FIDUCIALROUND_1MM,FD1 FD2 FD3,FIDUCIAL_ROUND_1MM,
H11L1S,OK1,SMD6,
LED0603_R,D3 D4,CHIPLED_0603,
MOMENTARY2.5MM_3MM,S1 S2,SW_B3U-1000P,
TEST_PADSB1 27,TP1,B1 27,
TEST_PADSB1 27,TP2,B1 27,
TEST_PADSB1 27,TP3,B1 27,
TEST_PADSB1 27,TP4,B1 27,
TEST_PADSB1 27,TP5,B1 27,
TEST_PADSB1 27,TP6,B1 27,
TEST_PADSB1 27,TP7,B1 27,
TEST_PADSB1 27,TP8,B1 27,
TEST_PADSB1 27,TP9,B1 27,
TEST_PADSB1 27,TP10,B1 27,
TEST_PADSB1 27,TP11,B1 27,
TEST_PADSB1 27,TP12,B1 27,
TEST_PADSB1 27,TP13,B1 27,
TEST_PADSB1 27,TP14,B1 27,
TEST_PADSB1 27,TP15,B1 27,
TLV76733DRV,U5,SON65P200X200X80-7N,
TPS56124,U1,SOT-563,
TRS-TIP-RING-SW,J1 J3,PJ-342B,
USBC_2.0,J4,12402012E212A,
