Designator,Mid X,Mid Y,Layer,Rotation
C1,-3.18, 5.08,Top,90.0
C2,-19.37, 6.35,Top,180.0
C3,-17.78,-13.02,Top,180.0
C8,-14.61,-13.02,Top,0.0
C9,10.79,-5.56,Top,0.0
C10, 9.53,-1.11,Top,0.0
C11, 9.21, 0.64,Top,0.0
C12,-3.18,-12.38,Top,270.0
C13,13.02,-3.02,Top,90.0
C14, 2.06,-12.38,Top,270.0
D1,12.07,-10.48,Top,270.0
D2, 5.08, 0.64,Top,180.0
D3, 6.99,-12.70,Top,90.0
D4, 9.53,-12.70,Top,90.0
D5, 4.13,-5.08,Top,270.0
FD1,-15.00,13.00,Top,0.0
FD2,-20.00,-13.00,Top,0.0
FD3,25.00,10.50,Top,0.0
J1,20.50, 8.00,Top,270.0
J2, 1.00,10.90,Top,270.0
J3,10.00, 8.00,Top,270.0
J4,-9.00,11.50,Top,0.0
L1, 7.30,-4.13,Top,270.0
OK1,19.69,-9.84,Top,0.0
R1,16.19,-3.18,Top,270.0
R2,17.46,-3.18,Top,270.0
R3,12.38,-1.11,Top,0.0
R4,16.19, 0.00,Top,270.0
R5, 6.99,-9.84,Top,90.0
R6,17.46, 0.00,Top,270.0
R7, 9.53,-9.84,Top,90.0
R8,12.38, 0.00,Top,0.0
R9,-14.92, 6.35,Top,0.0
R10,-14.92, 5.08,Top,0.0
R13,-19.37, 5.08,Top,180.0
R14,-11.11,-13.02,Top,0.0
S1,-23.00, 9.00,Top,0.0
S2,-23.00,12.50,Top,0.0
TP1,-4.50,-3.75,Top,0.0
TP2,-8.25, 5.00,Top,0.0
TP3,-17.50, 6.25,Top,0.0
TP4,-18.00,13.50,Top,0.0
TP5,-10.50, 5.00,Top,0.0
TP6,-12.75, 5.00,Top,0.0
TP7,15.00, 9.00,Top,0.0
TP8,19.50, 1.00,Top,0.0
TP9,15.50, 6.25,Top,0.0
TP10, 5.50, 7.00,Top,0.0
TP11, 5.75,-9.25,Top,0.0
TP12, 8.50,-8.00,Top,0.0
TP13,-3.25, 2.50,Top,0.0
TP14, 2.50, 2.25,Top,0.0
TP15, 3.50, 4.50,Top,0.0
U1,10.48,-2.86,Top,0.0
U2,-15.56,-3.81,Top,90.0
U5,-0.32,-12.38,Top,0.0
