"Comment";"Designator";"Footprint";"JLCPCB Part #";"Quantity";"MPN";"";
"1";"L1";"L1008";"";"1";"L1008-2U2H-2A5";"2-PIN-INDUCTORL1008-2U2-2A5";
"2";"J2";"DCJACK_2MM_PTH_SLOT";"";"1";"DC-2.1-TH-SLOT";"DCPCB_MOUNT_TH_SLOT";
"3";"D1, D2";"SOD-323";"";"2";"SOD323-SCHOTTKY-1A";"DIODE-SCHOTTKYGEN_SOD-323";
"4";"FD1, FD2, FD3";"FIDUCIAL_ROUND_1MM";"";"3";"FIDUCIAL";"FIDUCIALROUND_1MM";
"5";"OK1";"SMD6";"";"1";"H11L1S";"H11L1S";
"6";"D3";"CHIPLED_0603";"";"1";"LED-0603-GREEN";"LED0603_G";
"7";"MP1, MP2, MP3, MP4";"M3-PANHEAD-VIA";"";"4";"";"SCREW-FASTENER3";
"8";"C1";"0805_CAP";"";"1";"C0805-10UF-25V-X7R";"SMD-MLCCC0805-10U-25V-X7R";
"9";"C2";"1210_CAP";"";"1";"C1210-22U-25V";"SMD-MLCCC1210-22U-25V-X7R";
"10";"R4";"0603-RES";"";"1";"R0603-100K";"STDR0603-100K";
"11";"R5";"0603-RES";"";"1";"R0603-1K";"STDR0603-1K";
"12";"R1";"0603-RES";"";"1";"R0603-220R";"STDR0603-220R";
"13";"R3";"0603-RES";"";"1";"R0603-27K";"STDR0603-27K";
"14";"R2";"0603-RES";"";"1";"R0603-5K1";"STDR0603-5K1";
"15";"U1";"SOT-5X3";"";"1";"TPS629206DRLR";"TPS629206DRLR";
"16";"J1";"CUI_SJ1-3525N";"";"1";"SJ1-3525N";"TRS";
"17";"U2";"WAVESHARE_ESP32_ZERO";"";"1";"";"WAVESHARE_ESP32_ZERO";
