"Qty";"Value";"Footprint";"Designator";"JLC_PREF";"PART_NO"
"1";"";"DO-214AC";"D3";"C151924";""
"1";"";"SOD-123";"D5";"C82544";""
"1";"";"SOD-323";"D1";"C191023";"SOD323-SCHOTTKY-1A"
"6";"100K";"0402-RES";"R7, R13, R15, R27, R33, R49";"C25741";"R0402-100K"
"10";"100n";"0402_CAP";"C4, C6, C7, C9, C13, C14, C16, C26, C29, C60";"C307331";"C0402-100NF-50V-X7R"
"1";"10K";"0402-RES";"R50";"C25744";"R0402-10K"
"1";"10R";"0603-RES";"R8";"C22859";"R0603-10R"
"3";"10u";"0603_CAP";"C5, C12, C15";"C96446";"C0603-10U-25V-X5R"
"1";"12V";"SOD-323";"D6";"C19077447";"ZENER-SOD-323-12V"
"4";"1K";"0402-RES";"R5, R9, R19, R21";"C11702";"R0402-1K"
"2";"1u";"0402_CAP";"C1, C2";"C52923 ";"C0402-1U-25V-X5R"
"1";"200K";"0402-RES";"R6";"C25764";"R0402-200K"
"2";"220R";"0402-RES";"R1, R16";"C25091";"R0402-220R"
"3";"22K";"0402-RES";"R11, R14, R23";"C25768";"R0402-22K"
"1";"22R";"0402-RES";"R2";"C25092";"R0402-22R"
"1";"22u";"0603_CAP";"C10";"C59461";"C0603-22UF-6V3-X5R"
"1";"22u";"0805_CAP";"C3";"C45783";"C0805-22U-25V-X5R"
"1";"27K";"0402-RES";"R10";"C25771";"R0402-27K"
"2";"2K2";"0402-RES";"R43, R44";"C25879";"R0402-2K2"
"2";"2u2";"L1008";"L1, L2";"C237482";"L1008-2U2H-2A5"
"2";"33K";"0402-RES";"R12, R24";"C25779";"R0402-33K"
"1";"33R";"0402-RES";"R3";"C25105";"R0402-33R"
"4";"47u";"1206_CAP";"C8, C11, C27, C28";"C96123";"C1206-47U-10V-X5R"
"5";"5K1";"0402-RES";"R4, R17, R29, R31, R32";"C25905";"R0402-5K1"
"1";"741G32";"SOT23-5";"U5";"C7470";""
"2";"ARGBSK6812-MINI-E";"SK6812MINI-E";"LED1, LED2";"C5149201";" SK6812MINI-E"
"2";"COMP_SINGLE_5PIN";"SOT23-5";"U1, U3";"C5310980";""
"1";"DCPCB_MOUNT_TH_SLOT";"DCJACK_2MM_PTH_SLOT";"J4";"";"DC-2.1-TH-SLOT"
"1";"DISP_LCD_GENERIC_SPI_1.69_WRAPUNDER";"TFT_1.69IN_240X280_12P";"DISP1";"C9900239771";""
"1";"ESP32-S3-WROOM-1";"XCVR_ESP32-S3-WROOM-1-N16R2";"U8";"C2913205";"ESP32-S3-WROOM-1-N16R2"
"3";"FIDUCIALROUND_1MM";"FIDUCIAL_ROUND_1MM";"FD1, FD2, FD3";"";"FIDUCIAL"
"1";"H11L1S";"SMD6";"OK1";"C78589";"H11L1S"
"2";"LED0603_R";"CHIPLED_0603";"D9, D10";"C2286";"LED-0603-RED"
"2";"LEDIR12-21C/TR8";"IR12-21C/TR8";"D2, D4";"C53672";""
"2";"MOMENTARYHOR_2.5MM_3MM";"SW_B3U-3000P";"S1, S2";"C778147";""
"1";"N-channel";"SOT23";"Q1";"C8545";"NFET-LOW-SIG-SWITCH-SOT-23-3"
"2";"N_PHOTO";"PT12-21B-TR8";"Q2, Q4";"C264383";""
"2";"SCREW-FASTENER3";"M3-PANHEAD-VIA";"MP1, MP2";"";""
"1";"SI2309CDS";"SOT23";"Q6";"C10493";"SI2309"
"2";"TEST_PADSB1,27";"B1,27";"TP14, TP15";"";""
"2";"TPS56124";"SOT-563";"U2, U4";"C42040978";"TPS561243DRLR"
"2";"TRS-TIP-RING-SW";"PJ-342B";"J5, J6";"C7507452";"PJ-342 141"
"1";"USBC_2.0";"12402012E212A";"J3";"C2988369";"USBC-2.0-TOP"
