Comment,Designator,Footprint,LCSC Part #
1K,D1 D3 D5 R5 R9 R19 R21,0402-RES,
1u,C1 C2,0402_CAP,
2K2,R43 R44,0402-RES,
2u2,L1 L2,L1008,
5K1,R4 R17 R29 R31 R32,0402-RES,
10K,R50,0402-RES,
10R,R8,0603-RES,
10u,C5 C12 C15,0603_CAP,
12V,D6,SOD-323,
22K,R11 R14 R23,0402-RES,
22R,R2,0402-RES,
22u,C3,0805_CAP,
22u,C10,0603_CAP,
27K,R10,0402-RES,
33K,R12 R24,0402-RES,
33R,R3,0402-RES,
47u,C8 C11 C27 C28,1206_CAP,
100K,R7 R13 R15 R27 R33 R49,0402-RES,
100n,C4 C6 C7 C9 C13 C14 C16 C26 C29 C60,0402_CAP,
200K,R6,0402-RES,
220R,R1 R16,0402-RES,
741G32,U5,SOT23-5,
ARGBSK6812-MINI-E,LED1 LED2,SK6812MINI-E,
COMP_SINGLE_5PIN,U1 U3,SOT23-5,
ESP32-S3-WROOM-1,U8,XCVR_ESP32-S3-WROOM-1-N16R2,
FIDUCIALROUND_1MM,FD1 FD2 FD3,FIDUCIAL_ROUND_1MM,
H11L1S,OK1,SMD6,
LED0603_R,D9 D10,CHIPLED_0603,
LEDIR12-21C/TR8,D2 D4,IR12-21C/TR8,
MOMENTARYHOR_2.5MM_3MM,S1 S2,SW_B3U-3000P,
N-channel,Q1,SOT23,
N_PHOTO,Q2 Q4,PT12-21B-TR8,
SI2309CDS,Q6,SOT23,
TEST_PADSB1 27,TP14,B1 27,
TEST_PADSB1 27,TP15,B1 27,
TPS56124,U2 U4,SOT-563,
TRS-TIP-RING-SW,J5 J6,PJ-342B,
USBC_2.0,J3,12402012E212A,
