Designator,Mid X,Mid Y,Layer,Rotation
C1,24.77,-3.81,Bottom,180.0
C2,-25.40,-3.81,Bottom,180.0
C3,32.23,-3.02,Bottom,180.0
C4,33.50, 1.43,Bottom,180.0
C5,12.38, 1.27,Bottom,0.0
C6,12.38,-0.32,Bottom,0.0
C7,-20.64,-15.56,Bottom,90.0
C8,27.30, 3.81,Bottom,180.0
C9,25.08,-14.61,Bottom,270.0
C10,19.05, 1.91,Bottom,90.0
C11,17.78,10.79,Bottom,180.0
C12,33.81, 2.70,Bottom,180.0
C13,30.00,-0.79,Bottom,90.0
C14,22.86, 1.11,Bottom,90.0
C15,24.13, 0.79,Bottom,90.0
C16,20.16, 3.97,Bottom,0.0
C26, 9.53,11.43,Bottom,90.0
C27,13.97,10.79,Bottom,90.0
C28,11.43,10.79,Bottom,90.0
C29, 2.54,-13.34,Bottom,0.0
C60,19.37,-7.30,Bottom,90.0
D1,-34.93, 1.27,Bottom,90.0
D2,-43.75,-8.00,Bottom,90.0
D3,26.99, 8.89,Bottom,90.0
D4,43.75,-8.00,Bottom,270.0
D5,27.30,-1.59,Bottom,270.0
D6,34.29, 5.71,Bottom,90.0
D9,42.86,10.79,Bottom,270.0
D10,41.59,10.79,Bottom,270.0
FD1,31.50,-17.50,Bottom,0.0
FD2,-31.50,-17.50,Bottom,0.0
FD3,-43.50,12.50,Bottom,0.0
J3,22.00,17.50,Bottom,180.0
J5,-24.00,14.00,Bottom,270.0
J6,-34.00,14.00,Bottom,270.0
L1,35.56,-1.59,Bottom,270.0
L2,20.00,-1.11,Bottom,180.0
LED1,25.00,-8.00,Bottom,90.0
LED2,-25.00,-8.00,Bottom,90.0
OK1,-27.94, 2.54,Bottom,0.0
Q1,13.02, 6.35,Bottom,180.0
Q2,-30.25,-8.00,Bottom,270.0
Q4,30.25,-8.00,Bottom,90.0
Q6,31.43, 5.71,Bottom,0.0
R1,-34.93, 5.08,Bottom,270.0
R2,-16.19,10.79,Bottom,0.0
R3,-16.19,12.07,Bottom,0.0
R4,-20.96, 4.45,Bottom,90.0
R5,-42.55,-3.81,Bottom,90.0
R6,30.64, 1.11,Bottom,180.0
R7,10.16, 6.35,Bottom,90.0
R8,12.38, 3.49,Bottom,0.0
R9,-28.89,-16.19,Bottom,270.0
R10,30.64, 2.22,Bottom,180.0
R11,-26.35,-16.19,Bottom,270.0
R12,-27.62,-16.19,Bottom,90.0
R13,22.86, 3.81,Bottom,90.0
R14,23.81, 3.81,Bottom,90.0
R15,-25.08,-13.02,Bottom,0.0
R16,13.65,-7.62,Bottom,90.0
R17,-22.23,-13.02,Bottom,0.0
R19,42.23,-3.81,Bottom,90.0
R21,27.94,-12.07,Bottom,180.0
R23,30.80,-14.61,Bottom,90.0
R24,32.07,-14.61,Bottom,270.0
R27,29.21,-17.14,Bottom,180.0
R29,26.35,-17.14,Bottom,180.0
R31,23.81,10.79,Bottom,270.0
R32,20.96,10.79,Bottom,90.0
R33,35.88, 5.71,Bottom,90.0
R43,42.86, 7.94,Bottom,270.0
R44,41.59, 7.94,Bottom,270.0
R49, 2.54,-12.07,Bottom,0.0
R50,-5.08,-13.34,Bottom,0.0
S1, 4.00,-16.50,Bottom,180.0
S2,-4.00,-16.50,Bottom,180.0
TP14,28.00,17.00,Bottom,0.0
TP15,39.72, 7.91,Bottom,0.0
U1,-23.50,-15.56,Bottom,0.0
U2,32.54,-0.32,Bottom,180.0
U3,27.94,-14.61,Bottom,180.0
U4,21.27, 2.06,Bottom,90.0
U5,16.51,-7.14,Bottom,0.0
U8,-1.27, 6.99,Bottom,180.0
